week,checkout_price,base_price,num_orders,emailer_for_promotion,homepage_featured,op_area,Beverages,Biryani,Desert,Extras,Fish,Other Snacks,Pasta,Pizza,Rice Bowl,Salad,Sandwich,Seafood,Soup,Starters,Continental,Indian,Italian,Thai,region1,region2,region3,region4,region5,region6,region7,region8,TYPE_A,TYPE_B,TYPE_C
91,1048946.1100000278,1178695.2700000145,834397,328,356,4.078382487078013,70.0,9.0,11.0,7.0,12.0,18.0,20.0,22.0,10.0,16.0,19.0,9.0,7.0,11.0,65.0,44.0,75.0,57.0,2.0,67.0,3.0,97.0,4.0,50.0,15.0,3.0,136.0,53.0,52.0
92,1056448.810000021,1141588.8800000185,908145,310,369,4.088111455108239,67.0,9.0,10.0,7.0,13.0,18.0,22.0,22.0,9.0,17.0,19.0,9.0,7.0,11.0,65.0,41.0,78.0,56.0,3.0,65.0,3.0,97.0,4.0,48.0,17.0,3.0,136.0,53.0,51.0
93,1061173.1200000173,1143990.3300000147,900170,308,335,4.08812095032385,70.0,12.0,10.0,7.0,13.0,17.0,18.0,21.0,10.0,17.0,17.0,9.0,7.0,10.0,64.0,46.0,73.0,55.0,3.0,64.0,3.0,99.0,4.0,47.0,15.0,3.0,136.0,52.0,50.0
94,1090277.750000018,1179701.300000013,825030,418,313,4.078262185891489,71.0,13.0,10.0,6.0,9.0,17.0,18.0,22.0,10.0,17.0,18.0,10.0,7.0,11.0,64.0,47.0,72.0,56.0,3.0,65.0,3.0,96.0,4.0,49.0,16.0,3.0,138.0,50.0,51.0
95,1090084.0100000207,1168373.8000000133,905841,316,302,4.078560536748882,70.0,11.0,10.0,6.0,9.0,18.0,22.0,21.0,10.0,17.0,18.0,12.0,7.0,12.0,65.0,47.0,75.0,56.0,3.0,66.0,3.0,97.0,4.0,51.0,16.0,3.0,138.0,51.0,54.0
96,1113356.3900000132,1153194.1000000143,765117,0,170,4.0762603116405725,73.0,12.0,13.0,6.0,10.0,18.0,21.0,20.0,11.0,16.0,21.0,11.0,6.0,10.0,64.0,54.0,77.0,53.0,3.0,70.0,3.0,98.0,4.0,50.0,17.0,3.0,143.0,52.0,53.0
97,1103167.4500000135,1143899.8000000163,609977,23,163,4.084535133476401,72.0,12.0,13.0,6.0,8.0,17.0,19.0,20.0,11.0,15.0,22.0,12.0,8.0,10.0,65.0,51.0,75.0,54.0,3.0,65.0,3.0,99.0,4.0,51.0,17.0,3.0,139.0,52.0,54.0
98,1080156.390000013,1151786.1700000144,894021,383,265,4.080042656916389,71.0,15.0,14.0,7.0,8.0,15.0,19.0,19.0,11.0,15.0,21.0,12.0,7.0,10.0,63.0,55.0,74.0,52.0,3.0,67.0,3.0,95.0,4.0,51.0,18.0,3.0,140.0,49.0,55.0
99,1058846.0700000103,1120560.6200000122,742048,377,264,4.089179104477498,72.0,16.0,13.0,7.0,7.0,16.0,17.0,17.0,9.0,11.0,21.0,11.0,6.0,13.0,60.0,55.0,69.0,52.0,3.0,66.0,3.0,93.0,4.0,48.0,16.0,3.0,137.0,47.0,52.0
100,1074353.9000000188,1172422.8900000125,1088162,197,353,4.071834391054575,71.0,17.0,14.0,7.0,6.0,16.0,15.0,17.0,12.0,13.0,20.0,11.0,8.0,13.0,56.0,62.0,67.0,55.0,3.0,66.0,3.0,93.0,4.0,50.0,18.0,3.0,137.0,50.0,53.0
101,1063753.6700000186,1163675.6900000123,999447,476,280,4.081843065693303,72.0,14.0,16.0,8.0,5.0,16.0,17.0,19.0,10.0,12.0,19.0,12.0,9.0,15.0,61.0,58.0,65.0,60.0,3.0,69.0,3.0,94.0,4.0,50.0,18.0,3.0,141.0,49.0,54.0
102,1073019.5400000124,1099548.6500000134,890983,122,239,4.091057934508704,69.0,15.0,14.0,7.0,6.0,18.0,16.0,20.0,10.0,13.0,15.0,10.0,9.0,15.0,61.0,56.0,61.0,59.0,3.0,66.0,3.0,94.0,4.0,48.0,16.0,3.0,137.0,47.0,53.0
103,1009596.6200000102,1041030.6100000114,713569,125,236,4.106437768240232,68.0,14.0,11.0,6.0,5.0,18.0,13.0,19.0,11.0,11.0,14.0,13.0,9.0,13.0,61.0,51.0,57.0,56.0,3.0,62.0,3.0,90.0,4.0,46.0,14.0,3.0,126.0,46.0,53.0
104,1092912.7500000133,1125693.1000000131,774644,195,303,4.088320941759483,70.0,15.0,14.0,7.0,6.0,17.0,13.0,18.0,13.0,12.0,17.0,14.0,10.0,14.0,62.0,59.0,61.0,58.0,3.0,68.0,3.0,93.0,4.0,49.0,17.0,3.0,138.0,50.0,52.0
105,1138084.0700000187,1175094.3100000194,891479,75,337,4.073207885304534,72.0,16.0,13.0,8.0,6.0,16.0,14.0,18.0,14.0,13.0,16.0,14.0,11.0,14.0,64.0,58.0,64.0,59.0,3.0,67.0,3.0,96.0,4.0,51.0,18.0,3.0,140.0,51.0,54.0
106,1122074.8600000248,1200592.4900000182,847485,192,424,4.0733193904988285,71.0,17.0,16.0,7.0,7.0,16.0,13.0,22.0,14.0,13.0,16.0,13.0,10.0,12.0,68.0,62.0,61.0,56.0,3.0,69.0,3.0,95.0,4.0,51.0,19.0,3.0,142.0,49.0,56.0
107,1074486.4700000254,1157029.4000000202,783851,499,533,4.084478527607237,68.0,15.0,17.0,7.0,8.0,15.0,14.0,19.0,12.0,13.0,13.0,13.0,11.0,13.0,67.0,56.0,59.0,56.0,3.0,69.0,3.0,92.0,4.0,47.0,17.0,3.0,137.0,47.0,54.0
108,1058398.0700000206,1146395.590000018,908764,294,523,4.082541640962243,68.0,15.0,20.0,7.0,9.0,14.0,14.0,17.0,11.0,13.0,19.0,17.0,8.0,10.0,70.0,57.0,65.0,50.0,3.0,70.0,3.0,93.0,4.0,47.0,19.0,3.0,140.0,48.0,54.0
109,1093574.3700000164,1180170.8200000178,1068318,520,480,4.068566232191448,71.0,14.0,19.0,7.0,9.0,16.0,15.0,17.0,11.0,12.0,18.0,17.0,9.0,11.0,72.0,54.0,66.0,54.0,3.0,69.0,3.0,95.0,4.0,50.0,19.0,3.0,142.0,51.0,53.0
110,1090141.7500000084,1183905.560000013,889255,264,570,4.073307014879924,68.0,17.0,19.0,6.0,7.0,14.0,15.0,15.0,12.0,14.0,19.0,18.0,8.0,10.0,69.0,59.0,66.0,48.0,3.0,70.0,3.0,92.0,4.0,49.0,18.0,3.0,137.0,50.0,55.0
111,1083865.410000012,1143098.530000013,892631,304,523,4.077231443783161,65.0,13.0,19.0,7.0,6.0,13.0,17.0,13.0,11.0,15.0,18.0,19.0,6.0,10.0,68.0,54.0,65.0,45.0,3.0,67.0,3.0,89.0,4.0,46.0,17.0,3.0,129.0,48.0,55.0
112,1085959.4500000128,1140341.8400000122,852107,77,499,4.099433070866028,65.0,9.0,18.0,7.0,7.0,14.0,16.0,14.0,10.0,14.0,16.0,22.0,7.0,10.0,70.0,46.0,64.0,49.0,3.0,64.0,3.0,90.0,4.0,47.0,15.0,3.0,131.0,46.0,52.0
113,1101326.1500000085,1189186.5000000123,889696,306,492,4.082518115941904,73.0,8.0,21.0,7.0,7.0,15.0,17.0,16.0,10.0,13.0,15.0,21.0,8.0,12.0,73.0,50.0,66.0,54.0,2.0,69.0,3.0,99.0,4.0,48.0,15.0,3.0,139.0,49.0,55.0
114,1098225.5500000094,1184897.2400000098,813601,454,478,4.077757575757451,69.0,9.0,19.0,7.0,8.0,15.0,17.0,14.0,13.0,13.0,14.0,23.0,8.0,11.0,73.0,51.0,62.0,54.0,3.0,68.0,3.0,96.0,3.0,48.0,16.0,3.0,137.0,48.0,55.0
115,1105601.1800000074,1183902.3500000106,805469,385,468,4.0859707851489935,67.0,8.0,19.0,5.0,8.0,14.0,17.0,14.0,13.0,14.0,16.0,24.0,8.0,10.0,72.0,50.0,65.0,50.0,3.0,68.0,3.0,94.0,4.0,47.0,15.0,3.0,135.0,47.0,55.0
116,1109512.5600000091,1185573.0500000094,855465,498,450,4.086229007633462,66.0,7.0,20.0,6.0,8.0,12.0,17.0,16.0,16.0,15.0,14.0,24.0,9.0,13.0,74.0,55.0,61.0,53.0,3.0,67.0,3.0,99.0,4.0,49.0,15.0,3.0,137.0,50.0,56.0
117,1132047.4900000163,1190862.5000000126,809625,200,335,4.090790273556105,68.0,6.0,19.0,6.0,6.0,13.0,17.0,17.0,18.0,13.0,13.0,23.0,11.0,12.0,69.0,56.0,60.0,57.0,3.0,67.0,4.0,96.0,4.0,48.0,17.0,3.0,137.0,51.0,54.0
118,1140144.8300000154,1180042.9700000149,777707,182,241,4.0831909701035976,69.0,9.0,20.0,6.0,6.0,21.0,15.0,17.0,18.0,12.0,13.0,16.0,11.0,12.0,63.0,59.0,59.0,64.0,3.0,69.0,4.0,97.0,4.0,49.0,16.0,3.0,139.0,51.0,55.0
119,1121645.4700000165,1153241.8800000125,811709,154,265,4.08422850046557,63.0,7.0,21.0,6.0,7.0,21.0,16.0,19.0,19.0,12.0,14.0,17.0,10.0,9.0,64.0,58.0,60.0,59.0,3.0,68.0,4.0,96.0,4.0,48.0,15.0,3.0,139.0,48.0,54.0
120,1131995.1700000232,1176434.9600000172,753871,208,275,4.088071143820789,67.0,6.0,20.0,6.0,8.0,22.0,18.0,19.0,20.0,14.0,11.0,15.0,10.0,7.0,64.0,59.0,60.0,60.0,3.0,64.0,4.0,99.0,4.0,50.0,16.0,3.0,137.0,49.0,57.0
121,1089848.480000022,1188602.6600000204,950500,686,541,4.083535476045965,62.0,8.0,18.0,6.0,8.0,22.0,16.0,20.0,20.0,15.0,13.0,15.0,10.0,7.0,63.0,59.0,62.0,56.0,3.0,64.0,4.0,96.0,4.0,50.0,16.0,3.0,135.0,49.0,56.0
122,1106111.910000016,1232477.9700000165,944706,332,424,4.078773444477398,66.0,7.0,17.0,6.0,8.0,27.0,16.0,21.0,23.0,12.0,12.0,12.0,10.0,7.0,61.0,60.0,59.0,64.0,3.0,69.0,4.0,97.0,4.0,48.0,16.0,3.0,140.0,48.0,56.0
123,1077816.3100000184,1221852.110000014,889926,371,453,4.08655058540966,66.0,6.0,17.0,6.0,9.0,28.0,17.0,21.0,21.0,11.0,10.0,11.0,11.0,7.0,60.0,56.0,59.0,66.0,3.0,67.0,4.0,96.0,4.0,48.0,16.0,3.0,138.0,47.0,56.0
124,1094843.2600000137,1179575.4100000118,827257,154,332,4.090103848503236,58.0,5.0,19.0,6.0,10.0,29.0,18.0,20.0,24.0,10.0,12.0,10.0,12.0,6.0,57.0,60.0,58.0,64.0,3.0,64.0,4.0,97.0,4.0,49.0,15.0,3.0,134.0,49.0,56.0
125,1091508.2600000121,1170281.880000011,750541,115,260,4.090545118570863,61.0,7.0,18.0,6.0,12.0,27.0,16.0,20.0,25.0,16.0,10.0,10.0,10.0,7.0,62.0,60.0,62.0,61.0,3.0,68.0,4.0,99.0,4.0,51.0,13.0,3.0,137.0,49.0,59.0
126,1109478.5200000105,1185784.4200000085,810838,305,297,4.089981561155376,61.0,12.0,17.0,6.0,12.0,25.0,14.0,21.0,22.0,16.0,10.0,10.0,11.0,8.0,62.0,61.0,60.0,62.0,3.0,69.0,4.0,96.0,4.0,50.0,16.0,3.0,137.0,50.0,58.0
127,1120450.3800000113,1192048.8100000124,762737,231,301,4.090752688171919,59.0,10.0,19.0,7.0,13.0,26.0,14.0,18.0,25.0,16.0,9.0,11.0,10.0,8.0,60.0,62.0,59.0,64.0,3.0,69.0,4.0,98.0,4.0,49.0,15.0,3.0,138.0,52.0,55.0
128,1122463.4000000102,1198869.7100000102,878397,154,291,4.0879499694934704,55.0,15.0,18.0,6.0,13.0,23.0,14.0,18.0,27.0,15.0,10.0,8.0,10.0,9.0,57.0,66.0,59.0,59.0,3.0,67.0,4.0,97.0,4.0,48.0,15.0,3.0,136.0,51.0,54.0
129,1119302.240000007,1213890.2600000103,843661,384,475,4.088757216651348,55.0,15.0,17.0,7.0,12.0,23.0,15.0,19.0,25.0,16.0,10.0,8.0,9.0,6.0,55.0,63.0,61.0,58.0,3.0,65.0,3.0,97.0,4.0,47.0,15.0,3.0,133.0,48.0,56.0
130,1088024.9900000154,1192699.9200000106,920019,379,562,4.094751381215345,58.0,15.0,18.0,6.0,13.0,21.0,14.0,19.0,26.0,16.0,11.0,13.0,9.0,7.0,61.0,66.0,61.0,58.0,3.0,68.0,4.0,100.0,4.0,49.0,15.0,3.0,139.0,49.0,58.0
131,1103022.200000018,1204975.8100000108,899953,378,571,4.079228666868992,57.0,14.0,17.0,5.0,12.0,21.0,13.0,19.0,26.0,18.0,11.0,12.0,9.0,10.0,58.0,65.0,62.0,59.0,3.0,70.0,4.0,98.0,4.0,46.0,16.0,3.0,140.0,51.0,53.0
132,1105421.520000011,1199836.9000000078,939374,282,480,4.088095238095113,54.0,18.0,16.0,5.0,13.0,17.0,12.0,19.0,26.0,17.0,13.0,13.0,9.0,9.0,59.0,67.0,62.0,53.0,3.0,65.0,3.0,98.0,4.0,48.0,17.0,3.0,137.0,49.0,55.0
133,1122135.220000015,1225780.630000005,835583,298,420,4.07909145607689,55.0,16.0,20.0,4.0,11.0,15.0,10.0,21.0,24.0,17.0,13.0,17.0,9.0,12.0,64.0,68.0,58.0,54.0,3.0,66.0,4.0,97.0,4.0,51.0,16.0,3.0,140.0,48.0,56.0
134,1124229.220000017,1222357.5000000093,975072,444,411,4.080120120119995,55.0,18.0,18.0,5.0,10.0,14.0,8.0,19.0,25.0,20.0,13.0,17.0,9.0,13.0,64.0,69.0,55.0,56.0,3.0,64.0,4.0,101.0,4.0,49.0,16.0,3.0,138.0,51.0,55.0
135,1116361.0900000122,1173790.420000009,777106,308,407,4.094357559030849,56.0,17.0,18.0,3.0,12.0,15.0,8.0,19.0,26.0,20.0,12.0,17.0,9.0,11.0,66.0,69.0,55.0,53.0,3.0,65.0,4.0,102.0,4.0,48.0,15.0,2.0,140.0,50.0,53.0
136,1128192.4500000125,1176171.3700000104,769623,308,404,4.090192483959542,57.0,16.0,17.0,4.0,14.0,14.0,6.0,19.0,27.0,21.0,10.0,17.0,9.0,9.0,68.0,70.0,51.0,51.0,3.0,63.0,4.0,102.0,3.0,47.0,16.0,2.0,136.0,49.0,55.0
137,1111671.8300000154,1184226.7900000117,719740,152,289,4.090009137983428,56.0,15.0,19.0,4.0,14.0,15.0,7.0,17.0,29.0,19.0,13.0,15.0,8.0,11.0,64.0,73.0,52.0,53.0,3.0,64.0,4.0,99.0,4.0,49.0,17.0,2.0,138.0,49.0,55.0
138,1128568.020000019,1188138.0700000145,667343,71,252,4.089688834655154,59.0,13.0,19.0,4.0,15.0,12.0,7.0,17.0,27.0,20.0,10.0,17.0,7.0,9.0,67.0,71.0,48.0,50.0,4.0,62.0,4.0,98.0,4.0,47.0,15.0,2.0,136.0,48.0,52.0
139,1086550.9900000228,1181956.0500000154,751935,0,202,4.088472095150835,59.0,14.0,17.0,4.0,14.0,13.0,9.0,18.0,28.0,20.0,10.0,16.0,7.0,10.0,67.0,71.0,50.0,51.0,4.0,62.0,4.0,98.0,4.0,50.0,15.0,2.0,137.0,48.0,54.0
140,1120859.9100000157,1201749.6000000148,802689,145,250,4.087214885954257,55.0,11.0,21.0,5.0,15.0,13.0,9.0,20.0,27.0,22.0,11.0,13.0,7.0,12.0,64.0,70.0,54.0,53.0,4.0,66.0,4.0,96.0,4.0,48.0,17.0,2.0,137.0,49.0,55.0
141,1133461.4000000106,1168541.4400000127,776240,231,300,4.09160281949114,54.0,12.0,17.0,5.0,15.0,14.0,10.0,21.0,30.0,23.0,10.0,14.0,6.0,10.0,67.0,69.0,55.0,50.0,4.0,65.0,4.0,99.0,4.0,48.0,15.0,2.0,137.0,50.0,54.0
142,1124552.9000000092,1156108.4100000092,739661,231,279,4.097467572575537,51.0,8.0,19.0,5.0,16.0,13.0,10.0,19.0,29.0,22.0,11.0,13.0,8.0,12.0,65.0,66.0,53.0,52.0,4.0,59.0,4.0,100.0,4.0,47.0,16.0,2.0,134.0,48.0,54.0
143,1131454.150000013,1193624.730000011,759926,76,220,4.077186081694277,54.0,8.0,19.0,6.0,14.0,16.0,10.0,19.0,28.0,23.0,10.0,12.0,7.0,13.0,64.0,63.0,54.0,58.0,4.0,64.0,4.0,99.0,4.0,46.0,16.0,2.0,135.0,50.0,54.0
144,1113608.5800000092,1191519.8800000097,801197,368,293,4.07628709872792,57.0,6.0,19.0,6.0,13.0,18.0,10.0,16.0,29.0,22.0,10.0,13.0,9.0,13.0,61.0,64.0,53.0,63.0,4.0,63.0,4.0,98.0,4.0,49.0,17.0,2.0,135.0,49.0,57.0
145,1127512.0000000065,1161342.200000008,671926,149,199,4.092656058751406,60.0,6.0,18.0,6.0,11.0,17.0,9.0,17.0,25.0,21.0,11.0,12.0,9.0,16.0,59.0,61.0,53.0,65.0,4.0,63.0,4.0,95.0,4.0,50.0,16.0,2.0,139.0,46.0,53.0
